nama;deskripsi;gambar
Arumdalu;Sekar Arum Dalu (Cestrum nocturnum) akan mekar pada malam hari dan menyebarkan keharuman di sekelilingnya. Artinya sebagai manusia hendaklah berbuat kebaikan yang berguna terutama untuk masyarakat sekelilingnya tanpa memandang perbedaan yang ada. Ibarat dalam kegelapan malam pun kita harus arif menyikapinya.;Data/data_split/train/Arumdalu/6 Arumdalu 1.jpg
Brendi;Brendi adalah nama minuman keras yang diimpor dari mancanegara pada era pemerintahan Hindia Belanda. Minuman ini biasa diminum oleh para orang tua dan dewasa karena harga minuman ini yang tidak terjangkau oleh anak muda yang belum berpenghasilan cukup. Difungsikan sebagai minuman penambah vitalitas dan stamina, biasanya Brendi diminum 1-2 sloki. Minuman dengan jenis whisky (masyarakat Jawa tetap menyebutnya Brendi) memiliki simbol dagang bulatan 3 koin berjajar yang didalamnya bergambar. Inilah awal ide dengan adanya motif nitik Kawung Brendi.;Data/data_split/train/Brendhi/11 Brendhi 1.jpg
Cakar Ayam;Batik Nitik Motif cakar ayam adalah simbol dari semangat menyongsong hari esok untuk mencari rejeki, diibaratkan ayam di pagi buta sudah mengais tanah untuk mendapatkan makanan. Pada upacara perkawinan gaya Yogyakarta, batik motif cakar ayam biasanya dipakai oleh calon mempelai selama pingitan atau setelah siraman. Selain itu juga pada saat seorang istri sedang memiliki bayi, motif ini juga sering digunakan untuk menggendong bayi.;Data/data_split/train/Cakar Ayam/12 Cakar Ayam 1.jpg
Sekar Liring;Liring dalam bahasa Jawa artinya memandang sesuatu dari arah salah satu sudut mata (tidak total). Motif ini menyampaikan makna normatif bagi manusia yang menjelaskan jangan menganggap sepele segala sesuatu baik perilaku maupun pola pikir dan pendapat seseorang. Karena ada kemungkinan, hal yang dianggap sepele tersebut memiliki dampak yang besar. Karena itu sikap hati-hati dan menghargai orang lain harus diketengahkan.;Data/data_split/train/Sekar Liring/2 Sekar Liring 1.jpg
Cinde Wilis;Cinde Wilis mempunyai arti kain sutra berwarna hijau yang bergambarkan bunga. Ragam hias ini diadopsi dari kain sutra hijau yang bergambar bunga (konon berasal dari India). Wilis dalam bahasa Jawa artinya warna hijau. Jadi Cinde Wilis ini mempunyai makna kesuburan yang selalu identik dengan warna hijau. Motif ini juga sering dipakai pengantin dengan busana Kasatriyan Ageng Yogyakarta (dengan prada).;Data/data_split/train/Cinde Wilis/32 Cinde Wilis 1.jpg
Gedhangan;Gendhangan yaitu wujud dari sebuah tabung yang biasanya untuk menyimpan benda- benda penting atau bertuah sebagai azimat. Jadi gendhangan ini adalah simbol dari kehendak manusia bisa menyimpan sesuatu yang bersifat rahasia.;Data/data_split/train/Gedhangan/42 Gedhangan 1.jpg
Jayakirana;Jaya Kirana (Wijanarka) adalah Senapati Raja Angling Dharma dari kerajaan Malwapati. Adapun nama lain dari Jaya Kirana adalah Wijanarka. Cerita ini masuk dalam genre pewayangan Madya. Pesan yang ingin disampaikan adalah pentingnya seseroang memiliki jika kepahlawanan yaitu tanpa pamrih, rela berkorban untuk kepentingan nusa dan bangsanya yang bisa diteladani dari sikap Jaya Kirana (Wijanarka).;Data/data_split/train/Jayakirana/20 Jayakirana 1.jpg
Jayakusuma;Jaya Kusuma adalah nama salah satu anak Arjuna dalam cerita Mahabarata yang sangat taat pada perintah dan sebagai pahlawan muda yang disegani. Motif ini merupakan simbol teladan akan sikap patuh dalam menjalankan sikap sesepuhnya.;Data/data_split/train/Jayakusuma/58 Jayakusuma 1.jpg
Krawitan;Karawitan yang menjadi inspirasi dari ragam hias nitik ini sebenarnya adalah bunga karawitan. Namun, karawitan juga merupakan orkestra musik Jawa dengan instrumen yang sangat variatif berupa alat musik tiup, gesek, pukul, patik, dll. Untuk menghasilkan nada selaras dalam sebuah aransemen maka harus ada kerjasama yang harmonis. Jadi motif Nitik Karawitan mempunyai makna bahwa setiap orang harus hidup ber- masyarakat dan bekerjasama dengan orang lain, karena sifat manusia sebagai makhluk sosial yang tidak bisa hidup sendiri. Maknanya adalah semua orang harus bekerja sama untuk menghasilkan sesuatu yang dibutuhkan oleh masyarakat.;Data/data_split/train/Krawitan/31 Krawitan  2.jpg
Kawung Nitik;atas empat lingkaran yang saling bersinggungan satu dengan yang lain, yang tersusun sedemikian rupa dan keempatnya saling bersentuhan dimana ditengahnya terdapat ragam hias mlinjon. Ragam hias kawung sering dikonotasikan sebagai bentuk bunga kawung atau bunga kolang-kaling. Ini adalah simbol pandangan masyarakat Jawa tentang Keblat Papat Limo Pancer. Manusia hendaknya bisa mengekang 4 hawa nafsu untuk menyatu dengan Tuhannya. (Manunggaling Kawulo kaliyan Gusti). Ada pula yang menafsirkan bahwa kawung merupakan bunga yang sedang mekar sempurna. Yang maknanya adalah harapan baik untuk masa depan yang selalu berkembang.;Data/data_split/train/Kawung Nitik/27 Kawung Nitik 1.jpg
